Website,Avg_Daily_Visitors,Avg_Daily_Pageviews,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Traffic_Rank
www.google.com.af,N/A,N/A,9,1,37,7,0,7,0.071616,0.067968,0.009888,0.009154,5.376,954
www.google.com,515007350,4192159833,94200,11200,11700000,1670,10800,246000,38.5056,40.79328,6.4656,7.564032,6.576,1
www.youtube.com,506457282,2679159025,13500,16500,19300000,60000,47,329000,42.6048,40.56768,5.93472,5.045568,5.2416,2
www.facebook.com,270071255,1082985733,5870000,64400,127000,6230,4150,23100,21.4368,21.5136,2.04672,2.01696,3.5904,3
www.yahoo.com,99572035,383352336,17200,1110,798000,7500,433,68900,7.6992,7.9248,0.732096,0.70391,3.5808,6
www.acbar.org,100388,712760,0,12,12,146,0,8,0.01056,0.009274,0.00192,0.00167,7.008,8011
www.bbc.com,9282040,24690228,9,9370,7200,1120,16,136,0.7008,0.765408,0.047808,0.048499,2.6688,104
www.wikipedia.org,118921355,397197324,476,162,126000,1240,5,5,8.8128,9.55488,0.78288,0.760608,3.3408,5
www.jobs.af,54630,169355,0,0,244,149,0,1,0.00659,0.005415,0.000554,0.00041,3.3425,17003
www.live.com,56576433,186702228,0,968,23100,80900,0,3650,3.9456,4.47456,0.320448,0.3456,3.0624,15
www.espncricinfo.com,2708739,9588936,225,565,1390000,1240,2,9820,0.24192,0.218976,0.020448,0.017885,3.552,323
www.blogfa.com,1660422,3486885,8,740,77,12,0,3,0.12864,0.14208,0.006269,0.007181,1.8432,560
www.azadiradio.com,42395,190779,0,2,3,0,0,0,0.003629,0.003199,0.000344,0.000333,4.011,27256
www.msn.com,22403678,71019660,47200,679,98500,247,60,14600,1.6128,1.77696,0.1296,0.13104,3.0144,39
www.varzesh3.com,2364472,14896181,12,0,16800,12,0,1,0.18528,0.20352,0.027072,0.031709,6.2496,173
www.ask.com,8592595,21567415,783,146000,62500,270,1,9480,0.68832,0.680256,0.043968,0.040397,2.4,112
www.myway.com,3850265,11127268,0,0,816,17,0,1960,0.31008,0.312384,0.022752,0.02137,2.7648,225
www.booksecure.net,75222,503985,0,16,0,0,0,0,0.006017,0.006188,0.001051,0.000955,6.685,11228
www.savefrom.net,11707659,13229654,51,8,6880,98,0,6,1.0656,0.920928,0.030816,0.024451,1.0848,118
www.onclkds.com,25646796,49754784,0,0,10,2,0,0,2.3616,2.2176,0.1152,0.10176,1.8432,44
www.instagram.com,47854006,156961142,362,3310000,1390000,21300,36,392,3.8208,3.83808,0.28992,0.308544,3.2448,17
www.flyariana.com,23287,107122,0,0,2,5,0,144,0.001624,0.00191,0.000162,0.000214,4.202,35704
www.linkedin.com,31156540,135219383,203,284,315000,236000,12,6820,1.632,2.43456,0.1392,0.24288,3.2064,24
www.twitter.com,64764259,206597988,300,13300000,67700,1950,643,25700,4.8768,5.15712,0.3792,0.384768,2.928,12
www.blogspot.com,20898095,44303962,456,1400,1840000,1030,0,99,1.6992,1.67328,0.09072,0.084931,2.0928,52
www.state.gov,895296,5004707,699,1670,526000,972,1,28900,0.07296,0.1152,0.013344,0.018384,6.912,968
www.zapmeta.ws,914814,1948553,0,0,1,0,0,0,0.07872,0.071424,0.003648,0.003475,1.92,1464
www.microsoft.com,26567811,73327159,109,222,3450,12,28,1270,1.5936,1.85952,0.09984,0.112224,2.352,47
www.taand.com,24395,56111,0,16,22,1,0,1,0.002292,0.002006,0.000105,0.000112,1.91,44408
www.thefuncoolstuff.com,653024,764038,0,1,0,0,0,0,0.048,0.053376,0.001248,0.001488,1.152,2740
www.wordpress.com,24736274,48483097,530,399000,19900,2110,25,9840,1.776,2.00448,0.091392,0.092285,1.9392,41
www.trackmedia101.com,4317058,10922157,0,0,0,0,0,0,0.38304,0.28128,0.023424,0.01656,2.4096,278
www.aliexpress.com,16128136,144346819,30,86,1880,840,2,172,1.296,1.31424,0.29664,0.276192,8.6112,42
www.tolonews.com,26450,71415,0,244,21400,16,0,269,0.00277,0.002197,0.000162,0.000132,2.3875,40909
www.amazon.com,48820414,399350988,2110,6410000,106000,112000,109,4860,3.7824,3.90336,0.770688,0.746035,7.68,11
www.aparat.com,1986676,11383656,0,16,332,161,0,1,0.14784,0.15648,0.019488,0.021341,5.616,392
www.sputniknews.com,957184,3302286,0,13200,1690,220,0,11,0.08064,0.083904,0.005933,0.006931,3.168,875
www.reimageplus.com,5037812,8614659,3,0,672,34,0,171,0.39456,0.397056,0.015072,0.016464,1.6224,208
www.softonic.com,4814923,13337338,0,4,917,86,1,78,0.40896,0.395136,0.028992,0.023875,2.6688,170
www.afsaana.com,17657,22954,0,0,0,0,0,0,0.000955,0.00191,0.000048,0.000063,0.955,70701
www.bing.com,22430345,78506210,0,80,13900,5520,157,5160,1.8336,1.75296,0.16032,0.145824,3.3024,40
www.flydubai.com,128194,666610,0,87,101,20,0,2,0.0096,0.010464,0.001056,0.001248,4.224,7451
www.taqaror.com,14697,86718,0,0,0,0,0,0,0.000783,0.001051,0.000105,0.000144,4.775,68035
www.xvideos.com,14858061,146500484,0,1320,207,432,3,76800,1.3344,1.18752,0.346848,0.265728,9.792,62
www.extratorrent.cc,2970524,22100702,10,1100,18800,33,0,21,0.26496,0.2352,0.052512,0.039562,7.5936,279
www.beytoote.com,529167,1158876,1,2,1450,0,0,0,0.04608,0.048576,0.002774,0.00239,2.304,655
www.p30download.com,608314,1599865,4,262,28700,3,0,98,0.04896,0.051264,0.00287,0.003274,2.208,1508
www.stackoverflow.com,18173611,76147434,636,29900,4390,250,0,47400,1.008,1.42368,0.1056,0.141504,3.9552,51
www.xnxx.com,6092386,50749572,0,11900,59700,289,1,32600,0.54144,0.489024,0.1152,0.093206,8.016,136
www.mohe.gov.af,N/A,N/A,3,13,29,1,0,0,0.001337,0.001051,0.000201,0.000078,6.112,57192
www.gazetaexpress.com,44412,262029,8,35,1190,0,0,16,0.003264,0.003331,0.000403,0.000463,5.28,695
www.joq.al,23152,152807,0,0,0,0,0,1,0.001824,0.001661,0.000202,0.000212,4.416,1375
www.balkanweb.com,26162,128194,0,4990,21,10,0,7,0.001536,0.002064,0.000154,0.000232,3.84,3410
www.google.al,198677,1615248,7,0,59,64,0,1,0.01632,0.016128,0.002851,0.002656,7.104,4300
www.gazetablic.com,11304,49739,3,103,14,1,0,0,0.000787,0.00072,0.000074,0.000069,3.648,5364
www.syri.net,12780,83070,0,67,3,0,0,0,0.00144,0.001152,0.000163,0.000154,4.896,4347
www.merrjep.com,11196,134347,785,452,54,4,0,0,0.001248,0.000913,0.000374,0.000283,12.48,5079
www.koha.net,23075,73839,49,765,33,20,0,1,0.001536,0.001766,0.000096,0.000131,2.688,4470
www.gazetatema.net,20338,181010,2,10,36,0,0,0,0.001632,0.001718,0.000413,0.000415,10.56,5336
www.xing.al,4395,9229,0,0,0,0,0,0,0.00047,0.00024,0.000023,0.000011,1.92,7126
www.tvklan.al,8664,50252,10,137,44,0,0,0,0.000701,0.00072,0.000106,0.000072,6.048,5409
www.noa.al,8906,33843,4,6,5,0,0,1,0.00072,0.000461,0.000055,0.000051,2.976,6226
www.merrjep.al,5687,62558,266,132,19,23,0,0,0.000413,0.000442,0.000089,0.000117,9.216,9014
www.albeu.com,11503,42560,16,1150,161,4,0,1,0.00096,0.000816,0.000074,0.000076,3.264,7163
www.gazetaglobale.net,2761,3589,0,0,0,0,0,0,0.000192,0.00023,0.000006,0.000009,0.96,5592
www.gjirafa.com,12819,33330,0,264,20,109,0,0,0.000854,0.001056,0.000055,0.000068,2.688,8309
www.anabel.al,4071,13844,1,3,0,0,0,0,0.000432,0.000317,0.000036,0.000027,2.88,9393
www.opinion.al,9093,20914,0,3,5,0,0,0,0.000525,0.000659,0.00003,0.000039,2.3875,9717
www.lexo.al,7141,19998,0,0,1,0,0,0,0.000624,0.000509,0.000041,0.000034,2.784,8520
www.arbresh.info,3400,8161,0,0,19,0,0,0,0.000392,0.000306,0.000019,0.000019,2.0055,9863
www.periskopi.com,5769,23075,0,0,2,0,0,0,0.00049,0.000355,0.000038,0.000025,3.264,8724
www.living.al,2400,8161,1,0,1,6,0,0,0.000191,0.00022,0.00001,0.000013,1.91,16828
www.revistaclass.al,4156,11222,0,0,0,28,0,0,0.000258,0.000267,0.000025,0.000014,3.82,12121
www.360grade.al,6121,27545,0,0,2,0,0,0,0.00064,0.000382,0.000042,0.000036,2.674,14571
www.revistawho.com,1700,3571,0,1,0,2,0,0,0.000191,0.00021,0.00001,0.00001,1.91,13938
www.infokusi.com,1177,1530,0,17,0,0,0,0,0.000076,0.000094,0.000002,0.000003,0.955,14028
www.filma24.tv,59755,334629,2,0,202,0,0,0,0.004489,0.005071,0.000535,0.000677,4.966,13999
www.ikub.al,8432,41318,37,0,123,32,0,1,0.000382,0.000659,0.000074,0.000074,7.64,14556
www.shije.al,2616,10201,0,0,0,1,0,0,0.000191,0.000229,0.000011,0.00002,1.91,16540
www.insajderi.com,9274,20404,0,0,1,0,0,0,0.000907,0.000688,0.000046,0.000037,2.101,19100
www.sovrani.info,2266,6121,0,0,0,0,0,0,0.000258,0.000134,0.000028,0.000008,4.775,28388
www.kohajone.com,5951,32137,1,12,26,0,0,159,0.000516,0.000449,0.000057,0.000053,4.775,19868
www.prive.al,1428,3571,1,2,2,0,0,0,0.000191,0.000134,0.000011,0.000006,2.865,20127
www.gazetametro.net,2953,5611,0,0,1,0,0,0,0.000382,0.000191,0.000019,0.00001,1.91,27380
