,etag,id,kind,assignable,channelId,title
0,"""m2yskBQFythfE4irbTIeOgYYfBU/Xy1mB4_yLrHy_BmKmPBggty2mZQ""",1,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation
1,"""m2yskBQFythfE4irbTIeOgYYfBU/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""",2,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles
2,"""m2yskBQFythfE4irbTIeOgYYfBU/nqRIq97-xe5XRZTxbknKFVe5Lmg""",10,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Music
3,"""m2yskBQFythfE4irbTIeOgYYfBU/HwXKamM1Q20q9BN-oBJavSGkfDI""",15,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Pets & Animals
4,"""m2yskBQFythfE4irbTIeOgYYfBU/9GQMSRjrZdHeb1OEM1XVQ9zbGec""",17,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Sports
5,"""m2yskBQFythfE4irbTIeOgYYfBU/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""",18,youtube#videoCategory,FALSE,UCBR8-60-B28hp2BmDPdntcQ,Short Movies
6,"""m2yskBQFythfE4irbTIeOgYYfBU/M-3iD9dwK7YJCafRf_DkLN8CouA""",19,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Travel & Events
7,"""m2yskBQFythfE4irbTIeOgYYfBU/WmA0qYEfjWsAoyJFSw2zinhn2wM""",20,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Gaming
8,"""m2yskBQFythfE4irbTIeOgYYfBU/EapFaGYG7K0StIXVf8aba249tdM""",21,youtube#videoCategory,FALSE,UCBR8-60-B28hp2BmDPdntcQ,Videoblogging
9,"""m2yskBQFythfE4irbTIeOgYYfBU/xId8RX7vRN8rqkbYZbNIytUQDRo""",22,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,People & Blogs
10,"""m2yskBQFythfE4irbTIeOgYYfBU/G9LHzQmx44rX2S5yaga_Aqtwz8M""",23,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Comedy
11,"""m2yskBQFythfE4irbTIeOgYYfBU/UVB9oxX2Bvqa_w_y3vXSLVK5E_s""",24,youtube#videoCategory,TRUE,UCBR8-60-B28hp2BmDPdntcQ,Entertainment
